"SugarBase_ID","Glycan","Link","Species","Immunogenic"
"SBID3188","GlcNSOS(a1-4)GlcA(b1-4)GlcNSOS(a1-4)IdoOSA(a1-4)GlcNS","None","","Unknown"
"SBID3189","GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GalNAc","None","","Yes"
"SBID3190","Xylf(b1-2)Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3191","Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)[Man(a1-3)Man(a1-2)Man(a1-6)]Man(a1-3)[Man(a1-3)[Man(a1-3)Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3192","Xyl(b1-3)D-FucNAc(b1-4)LLManNonUloOFoN-onic","None","","Unknown"
"SBID3193","ManOP(a1-2)Man(a1-6)Man(a1-4)GlcNAc","None","","Unknown"
"SBID3194","GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","None","","Unknown"
"SBID3195","Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc","None","","Unknown"
"SBID3196","Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(a1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc","None","","Unknown"
"SBID3197","NeuNGc(a2-3)[GalNAc(b1-4)]GalNAc(b1-4)Gal(b1-3)Gal(b1-3)[NeuNAc(a2-6)]GalNAc","None","","Unknown"
"SBID3198","NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-4)]Man","None","","Unknown"
"SBID3199","GlcNAc(b1-3)[DDManHep(a1-7)]LDManHep(a1-3)[Glc(b1-4)]LDManHep(a1-5)[Ko(a2-4)]Kdo","None","Yersinia pestis","Unknown"
"SBID3200","LDManHep(a1-2)LDManHep(a1-3)[DDManHep(a1-6)Glc(b1-4)][Glc(a1-6)]LDManHep(a1-5)Kdo","None","Actinobacillus pleuropneumoniae, Mannheimia haemolytica","Unknown"
"SBID3201","Man(a1-2)[Galf(b1-5)Galf(b1-3)]Man(a1-2)[Galf(b1-5)Galf(b1-3)]Man(a1-2)Man(a1-2)Man","None","Aspergillus fumigata, Aspergillus fumigatus","Unknown"
"SBID3202","Rha(a1-3)[L-Glc(a1-4)]Gal","None","","Unknown"
"SBID3203","Kdo(a2-4)Kdo(a2-4)[Hep(b1-3)HepOPEtn(b1-5)]Kdo(a2-6)GlcOPN(b1-6)GlcN","None","","Unknown"
"SBID3204","Rha(a1-3)[GalNAc(b1-2)]Rha(a1-2)Rha","None","Aggregatibacter actinomycetemcomitans","Yes"
"SBID3205","Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc","None","","Unknown"
"SBID3206","Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","None","","Unknown"
"SBID3207","Glc(a1-2)Gal(a1-2)Glc(a1-4)Glc","None","Citrobacter freundii","Unknown"
"SBID3208","GalA(a1-2)Rha(a1-4)GalA(a1-2)[Gal(b1-4)Gal(b1-4)]Rha","None","","Unknown"
"SBID3209","Gal(a1-2)Man(a1-2)[Gal(a1-3)]Man(a1-2)Man(a1-3)[Gal(a1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","Schizosaccharomyces pombe","Unknown"
"SBID3210","Man(a1-3)[Man(a1-6)]Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Astacus leptodactylus, Cricetulus griseus, Felis catus, Gallus gallus, Mus musculus","Unknown"
"SBID3211","Rha(a1-3)Rha(a1-2)Rha(b1-3)Rha","None","Burkholderia cepacia","Yes"
"SBID3212","NeuNAc(a2-8)NeuNAc(a2-3)Gal(b1-4)Glc-ol(1-3)a-Tri-ol","None","","Unknown"
"SBID3213","Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)[Man(a1-6)]Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3214","Kdo(a2-4)[Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHep(a1-5)]Kdo(a2-6)GlcNAc(b1-6)GlcNAc","None","","Unknown"
"SBID3215","GalNAc(b1-4)[NeuNGc(a2-3)]Gal","None","","Yes"
"SBID3216","GlcNAcOS(b1-3)GalOS(b1-4)GlcNAcOS(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAcOS(b1-3)GalOS(b1-4)GlcNAcOS(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3217","Gal(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-3)GalNAc","None","","Unknown"
"SBID3218","Gal(a1-2)Gal(a1-3)[Fuc(a1-2)]Gal(b1-6)Man","None","Hypsizygus marmoreus","Unknown"
"SBID3219","NeuNAc(a2-3)Gal(b1-3)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc","None","","Unknown"
"SBID3220","NeuNAcNMe(a2-3)Gal(b1-4)Glc","None","","Unknown"
"SBID3221","NeuNGc(a2-6)Gal(b1-4)GlcNAcOS(b1-2)Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","None","","Unknown"
"SBID3222","Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(b1-4)Glc","None","","Unknown"
"SBID3223","Gal(a1-4)Gal(b1-4)Glc(b1-4)[Glc(a1-2)]Glc(a1-2)Glc(b1-6)[Glc(a1-2)Glc(b1-4)]Glc(a1-5)Kdo","None","Moraxella bovis","Unknown"
"SBID3224","GlcN(a1-4)Kdo(a2-4)[Glc(a1-3)Gal(a1-2)[Kdo(a2-3)][6dTalOMe(a1-3)[GlcN(a1-3)[GlcN(b1-4)]Fuc(a1-2)GlcA(b1-4)]Fuc(a1-3)GalN(a1-4)ManN(b1-4)Gal(a1-3)GalN(b1-3)Glc(a1-3)Man(a1-6)]Man(a1-4)Man(a1-5)]Kdo(a2-6)GlcN(b1-6)GlcN","None","","Unknown"
"SBID3225","Man(a1-2)Man(a1-2)[Man(a1-2)[Man(a1-3)]Man(a1-2)Man(a1-2)Man(a1-2)[Man(a1-3)Man(a1-2)Man(a1-2)Man(a1-6)Man(a1-6)]Man(a1-6)]Man","None","","Unknown"
"SBID3226","GlcNOCmOVac(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)[FucOMe(a1-6)]GlcNAc","None","Bradyrhizobium elkanii, Bradyrhizobium japonicum","Unknown"
"SBID3227","GlcN(a1-7)LDManHep(a1-2)LDManHep(a1-3)[Gal(b1-4)[DDManHep(a1-6)]DDManHep(a1-6)Glc(b1-4)][LDManHep(a1-6)]LDManHep(a1-5)KdoOP(a2-6)GlcOPN(b1-6)GlcN","None","","Unknown"
"SBID3228","GalNAc(a1-3)GalOS(b1-3)GlcNAc(b1-2)Man(a1-3)[ManOMe(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)][Fuc(a1-6)]GlcNAc","None","Crassostrea virginica","Unknown"
"SBID3229","Glc(b1-6)Glc(b1-6)Glc(b1-4)Man","None","","Unknown"
"SBID3230","GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-4)GalNAc(b1-4)GlcNAc(b1-3)Man(b1-4)Glc","None","","Unknown"
"SBID3231","GlcA(b1-4)GlcA(b1-3)[Glc(b1-4)]GalA(a1-4)Gal","None","Alteromonas infernus","Unknown"
"SBID3232","DDManHep(a1-6)Glc(b1-4)[LDManHep(a1-2)LDManHep(a1-3)][Glc(a1-6)]LDManHep(a1-5)Kdo","None","Actinobacillus pleuropneumoniae","Unknown"
"SBID3233","NeuNGc(a2-8)NeuNGc(a2-3)Gal","None","","Yes"
"SBID3234","[Glc(a1-6)]4)Glc(a1-4)[Glc(a1-6)]Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc","None","","Unknown"
"SBID3235","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc","None","","Unknown"
"SBID3236","6dTal(a1-2)[Xyl(b1-2)Glc(b1-3)]Ara","None","","Unknown"
"SBID3237","NeuNGcA(a2-6)Gal(b1-4)Glc","None","","Yes"
"SBID3238","[Glc(a1-2)]Galf(b1-6)[Glc(a1-2)]Man(a1-6)Man(a1-6)Galf","None","Fonsecaea pedrosoi","Unknown"
"SBID3239","NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3240","Glc(b1-3)GalNAc(a1-3)GalNAc(b1-3)Rha(a1-3)[QuiNAc(b1-3)Rha(a1-2)][LDManHep(a1-7)]LDManHep(a1-3)[LDManHep(a1-6)Glc(b1-4)]LDManHep(a1-5)Kdo(a2-4)Kdo(b1-8)AraN","None","Burkholderia multivorans","Yes"
"SBID3241","Rha(a1-3)Rha(a1-3)GlcNAc","None","Shigella flexneri","Unknown"
"SBID3242","DDManHep(a1-7)LDManHep(a1-7)[GlcNAc(b1-3)]LDManHep(a1-3)[Glc(b1-4)]LDManHep(a1-5)[Kdo(a2-4)]Kdo","None","Yersinia pestis","Unknown"
"SBID3243","NeuNAcN(a2-8)NeuNAcN(a2-3)Gal(b1-4)Glc","None","","Unknown"
"SBID3244","Fuc(a1-2)Gal(a1-3)Gal(a1-4)Gal(b1-3)[Fuc(a1-2)Gal(a1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)GalNAc","None","","Unknown"
"SBID3245","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[Kdn(a2-6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3246","Galf(b1-4)Rha(a1-3)GlcNAc","None","","Unknown"
"SBID3247","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","MurineLeukemia Virus","Unknown"
"SBID3248","Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","None","","Unknown"
"SBID3249","Gal(b1-4)Xyl(b1-4)Rha(a1-2)D-FucOMeOFer","None","Polygala senega","Unknown"
"SBID3250","GalNAc(a1-3)[Rha(a1-2)]D-Rha(b1-4)Glc(b1-6)Galf(b1-6)GalNAc(b1-3)GalOP(a1-6)GalNAc","None","Streptococcus gordonii","Unknown"
"SBID3251","Gal(b1-4)GlcNAc(b1-4)[GlcNAc(b1-2)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Gallus gallus, Tetronarce californica","Unknown"
"SBID3252","NeuOFo(a2-6)Gal(b1-4)GlcNAc","None","","Unknown"
"SBID3253","GalNAc(a1-3)[GlcNAc(a1-4)]GalNAc(a1-4)Glc(a1-4)Gal(b1-3)GalNAc","None","Shigella dysenteriae","Unknown"
"SBID3254","Fuc(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc","None","","Unknown"
"SBID3255","Glc(b1-4)[ManOPyr(b1-4)GlcA(b1-3)GlcA(a1-3)]GalA(a1-4)Gal(a1-4)Glc","None","Alteromonas macleodii","Unknown"
"SBID3256","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuNGc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Sus scrofa","Unknown"
"SBID3257","NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-4)]Gal","None","","Unknown"
"SBID3258","Glc(b1-3)Gal(a1-3)Glc","None","Pseudomonas marginalis","Unknown"
"SBID3259","GlcNAc(a1-4)GlcA(b1-4)GlcNS(a1-4)IdoA(a1-4)GlcNS","None","","Unknown"
"SBID3260","D-Rha(b1-3)[Xyl(b1-2)]D-RhaNAc(a1-3)D-Rha","None","Xanthomonas cassavae","Unknown"
"SBID3262","Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal","None","","Unknown"
"SBID3263","Kdo(b2-3)GalOAc(b1-4)Glc(b1-3)Gal(b1-5)Kdo","None","Burkholderia pseudomallei","Unknown"
"SBID3264","NeuNAc(a2-3)Gal(b1-4)GlcNAc(a1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3265","Gal(a1-3)Gal(b1-4)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(a1-3)Gal(b1-4)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","None","","Unknown"
"SBID3266","Gal(b1-3)GalNAc(a1-4)QuiNAc(b1-3)D-Fuc(a1-3)Gal","None","Escherichia coli","Unknown"
"SBID3267","Fuc(a1-3)GalOMe(b1-4)GlcNAc","None","","Unknown"
"SBID3268","Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf","None","Aspergillus fumigata, Aspergillus fumigatus, Mycobacterium tuberculosis","Unknown"
"SBID3269","Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc","None","","Unknown"
"SBID3270","NeuNAc(a2-3)Gal(b1-3)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-3)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-3)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Calloselasma rhodostoma","Unknown"
"SBID3271","Gal(b1-4)Glc(b1-2)LDManHepOPEtn(a1-2)LDManHepOPEtn(a1-3)[Gal(a1-4)Glc(b1-4)]LDManHep","None","Haemophilus influenzae","Unknown"
"SBID3272","AraN(b1-8)Ko(a2-4)KdoOMe","None","Burkholderia cepacia","Unknown"
"SBID3273","Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3274","L-GalNAcA(a1-3)QuiNAc(a1-4)GlcNAcAN(b1-4)L-GalNAcA","None","Pseudoalteromonas rubra","Unknown"
"SBID3275","NeuNGc(a2-3)Gal(b1-3)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-3)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","None","","Unknown"
"SBID3276","Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)[GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-6)]GalNAc","None","","Unknown"
"SBID3277","GalNAc(b1-4)[Man(a1-2)ManOP(a1-2)Man(a1-6)]ManOP(a1-4)GlcN","None","","Unknown"
"SBID3278","NeuNAc(a2-3)[Gal(b1-4)]Gal(b1-3)[GlcNAc(b1-3)[Fuc(a1-4)]GlcNAc(b1-6)]GalNAc","None","","Unknown"
"SBID3279","GalNAc(b1-4)GlcNAc(b1-2)[GalNAc(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3280","GalNAc(a1-3)GalNAc(b1-3)Gal(a1-3)Gal(b1-4)Glc","None","","Unknown"
"SBID3281","Gal(a1-4)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(a1-4)Gal(b1-4)GlcNAc(b1-4)][NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3282","Man(b1-4)Rha(a1-3)D-Fuc","None","","Unknown"
"SBID3284","GlcNAc(a1-2)Man(a1-3)[GlcNAc(a1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3286","GalNAc(b1-4)GlcA(b1-3)D-FucNAcN(b1-3)GalNAc","None","Photorhabdus temperata","Unknown"
"SBID3287","Fuc(a1-2)XylHex(b1-4)Glc","None","","Unknown"
"SBID3288","QuiNAc(b1-2)Rha(a1-4)GalAN(a1-6)[GlcAN(b1-3)Glc(b1-4)]Gal(a1-5)[Kdo(a1-4)]Kdo","None","","Yes"
"SBID3289","[GlcNAc(b1-2)]GlcA(b1-3)GalAThr(b1-3)[Glc(a1-6)]GlcNAc(b1-4)GlcA","None","Proteus mirabilis","Unknown"
"SBID3290","[GalOPyr(b1-4)GlcA(b1-3)Gal(b1-4)]D-Fuc(b1-4)D-FucOAc(a1-3)Glc(b1-3)D-Fuc","None","Escherichia coli","Unknown"
"SBID3291","GlcOSA(b1-4)GlcOSA(b1-4)GlcOSA(b1-4)Glc","None","Halobacterium salinarum ","Unknown"
"SBID3293","Glc(b1-4)GlcOLac(b1-4)Gal","None","Butyrivibrio fibrisolvens","Unknown"
"SBID3294","GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Bothrops moojeni","Unknown"
"SBID3295","Man(a1-2)[Galf(a1-3)]Man(a1-2)Man","None","Schizosaccharomyces pombe","Unknown"
"SBID3296","ManNAcA(b1-4)L-GulNAcOAcA(a1-3)QuiNAcNBut(a1-4)ManNAcA","None","Acinetobacter haemolyticus","Unknown"
"SBID3297","GlcNAc(a1-4)GlcNAc(a1-4)GlcNAc(a1-4)GlcNAc","None","","Unknown"
"SBID3298","NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)Man","None","","Unknown"
"SBID3299","GlcNAc(a1-2)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[Gal(a1-7)Kdo(a2-4)]Kdo","None","Escherichia coli","Unknown"
"SBID3300","D-RhaOFoN(a1-2)D-RhaOFoN(a1-2)D-RhaOFoN(a1-2)D-RhaOFoN(a1-2)D-RhaOFoN(a1-2)D-RhaOFoN","None","","Unknown"
"SBID3301","Galf(b1-3)Gal(b1-4)[Galf(b1-6)]GalNAc(b1-3)Gal(a1-2)RibOP-ol(5-5)Galf","None","Streptococcus pneumoniae","Unknown"
"SBID3302","Fruf(b2-1)Fruf(b2-1)[Gal(a1-6)Gal(a1-6)]Glc","None","","Unknown"
"SBID3303","Glc(a1-3)Rha(a1-2)Rha(a1-3)Rha(a1-3)GlcNAc","None","","Unknown"
"SBID3304","Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3305","Rha(a1-3)[Xyl(b1-4)]Glc","None","","Unknown"
"SBID3306","Gal(a1-2)Man(a1-4)Rha","None","Salmonella enterica","Unknown"
"SBID3307","ManNAcAThr(b1-4)GlcNAcA(b1-3)GlcNAcN","None","Methanococcus voltae ","Unknown"
"SBID3309","Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)[GlcNAc(a1-6)]Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3310","Rha(b1-6)[Glc(a1-3)]Gal(a1-6)[Glc(a1-2)]Glc(a1-2)Rha","None","Ganoderma lucidum","Unknown"
"SBID3311","Glc(a1-3)[Glc(a1-6)]LDManHep(a1-3)[Glc(b1-7)LDManHep(a1-4)][LDManHep(a1-6)]LDManHep","None","Vibrio ordalii","Unknown"
"SBID3312","[GlcNAcOPyr(b1-3)]GalNAc(a1-4)Glc(a1-4)Gal(b1-3)GalNAc(b1-4)GalNAc","None","Shigella dysenteriae","Unknown"
"SBID3313","Fuc(a1-3)GalNAc(a1-6)Man(a1-3)Fuc(a1-3)GalNAc","None","Escherichia coli","Unknown"
"SBID3314","Man(a1-2)Man(a1-4)Man","None","Brevundimonas diminuta","Unknown"
"SBID3315","GalNAc(a1-4)GalNAc(a1-4)[Glc(b1-3)]GalNAc(a1-4)GalNAc(a1-4)GalNAc(a1-3)GlcNAc(b1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)Glc(a1-3)[Gal(a1-6)]LDManHepOP","None","Escherichia coli","Unknown"
"SBID3316","GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc","None","","Unknown"
"SBID3317","NeuNAc(a2-3)Gal(b1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-6)]GalNAc","None","","Unknown"
"SBID3318","Rha(a1-4)GlcA(a1-2)Man(a1-2)Man","O","Sporothrix schenckii","Unknown"
"SBID3319","Gal(a1-3)GalNAcOPGro(b1-6)Gal","None","Actinoplanes campanulatus, Streptomyces griseoviridis","Unknown"
"SBID3320","RhaOAc(a1-3)GlcNAc(b1-4)RhaOAc","None","Aeromonas hydrophila, Aeromonas sobria","Yes"
"SBID3321","Glc(b1-2)[Glc(b1-3)]Glc(b1-4)Gal","None","Allium sativum, Polygonatum odoratum, Solanum acaule, Solanum ahanhuiri, Solanum boliviense, Solanum canasense, Solanum chacoense, Solanum commersonii, Solanum demissum, Solanum leptophyes, Solanum megistacrolobum, Solanum nigrum, Solanum sanctaerosae","Unknown"
"SBID3322","Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","None","","Unknown"
"SBID3323","Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3324","GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)Man","None","","Unknown"
"SBID3325","Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-7)LDManHepOPPEtn(a1-5)[Kdo(a2-4)]KdoOPPEtn","None","Escherichia coli","Unknown"
"SBID3326","Gal(b1-4)GlcNAc(b1-2)[Gal(b1-3)[NeuNAc(a2-6)]GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3327","Gal(a1-3)Gal(a1-3)Rha(a1-2)Gal(a1-3)Gal(a1-3)Rha","None","","Unknown"
"SBID3328","Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Gal","None","","Unknown"
"SBID3329","Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","","Unknown"
"SBID3330","GlcNSOS(a1-4)GlcA(b1-4)GlcOSN(a1-4)IdoOSA(a1-4)GlcOSN","None","","Unknown"
"SBID3331","Kdo(a2-8)[Kdo(a2-4)]Kdo","None","Chlamydia psittaci","Unknown"
"SBID3332","Glc(a1-4)GlcNAc(b1-2)Rha(a1-4)Rha","None","Shigella flexneri","Unknown"
"SBID3333","Araf(a1-3)Gal(b1-6)Gal(b1-6)[Araf(a1-5)Araf(a1-3)]Gal(b1-6)[Araf(a1-3)]Gal(b1-6)Gal","None","Raphanus sativus","Unknown"
"SBID3334","GlcNAc(b1-2)Man(b1-3)[Xyl(b1-2)]Man(b1-4)Glc","None","","Unknown"
"SBID3335","[Gal(b1-4)]Man(a1-6)Man","None","Lecanicillium fungicola, Peltigera canina, Ramalina peruviana","Unknown"
"SBID3336","Glc(b1-2)[Glc(b1-6)]Glc","None","Nerium oleander","Unknown"
"SBID3337","Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc","None","","Unknown"
"SBID3338","[Rha(a1-2)Rha(a1-5)Galf(b1-2)]Man(a1-6)Man","None","Cubonia bulbifera","Unknown"
"SBID3339","Glc(b1-2)[Gal(b1-3)]Glc(b1-4)D-Rha(b1-3)Rha(a1-2)Ara","None","","Unknown"
"SBID3340","Kdo(a2-4)[Dha(a2-6)Glc(b1-4)Dha(a2-6)Glc(a1-6)Glc(a1-6)Glc(b1-4)Glc(a1-5)]Kdo(a2-6)GlcOPN(b1-6)GlcN","None","","Unknown"
"SBID3341","Glc(a1-2)Gal(b1-4)Glc(b1-4)Glc(b1-3)[GalN(a1-4)]GlcNAcA(a1-4)[GlcN(b1-7)]Kdo(a2-5)[Kdo(a2-4)]Kdo","None","Acinetobacter baumannii","Unknown"
"SBID3342","GlcA(a1-4)[6dTalOMe(a1-3)]Fuc(a1-4)GlcA","None","Rhizobium etli","Unknown"
"SBID3343","Galf(b1-6)GalNAc(b1-3)Gal(a1-1)RibOP-ol(5-6)Galf(b1-3)Gal(b1-6)Galf","None","Streptococcus oralis","Unknown"
"SBID3344","GlcA(b1-2)Rha(a1-2)Rha(a1-2)Rha(a1-3)Gal(b1-2)Rha","None","Dickeya chrysanthemi","Unknown"
"SBID3345","GalNAc(a1-3)[Abe(a1-6)]Man(a1-2)Man(a1-2)Man(b1-3)GalNAc","None","Yersinia pseudotuberculosis","Unknown"
